Name;RA;Dec;ra1;ra2;ra3;RA_dec;RA_radians;sde;de1;de2;de3;de_dec;Dec_radians;LongGal;LatGal;B;V;B-V;B0-V0;EB-V;Sp;Sp_s;Distance;Miles
HD 19400 ;03 02 15,44844;-71 54 08,8369;03;02;15.4;45.5643685;0.795248252;-;71;54;08.8;-71.90245469;-1.254934575;289.928;-41.7636;5.375;5.497;-0.122;-0.2;0.08;B3V+,,,;B3;74.99250555;
HD 194335;20 23 44,36939;+37 28 35,2136;20;23;44.4;305.9348725;5.339570821;+;37;28;35.2;37.47644822;0.654087413;76.0365;0.0349;5.689;5.859;-0.17;-0.24;0.07;B2Vne;B2;147.6598348;
HD 194636;20 27 19,21088;-18 12 42,1980;20;27;19.2;306.8300453;5.355194535;-;18;12;42.2;-18.21172167;-0.317854506;26.2182;-29.076;5.18;5.25;-0.07;-0.18;0.11;B4V;B4;149.6102787;
HD 195050;20 27 34,25793;+38 26 25,1912;20;27;34.3;306.8927414;5.356288787;+;38;26;25.2;38.44033089;0.67091034;77.2596;-0.0239;5.704;5.636;0.068;0.08;-0.01;A3V;A3;146.4526183;
HD 195094;20 29 53,91117;-18 34 59,4803;20;29;53.9;307.4746299;5.366444658;-;18;34;59.5;-18.58318897;-0.324337833;26.0766;-29.7809;5.984;5.906;0.078;0.02;0.06;A1V;A1;148.9706199;
HD 195554;20 29 27,11087;+56 04 05,4813;20;29;27.1;307.362962;5.364495685;+;56;04;05.5;56.06818925;0.978574508;91.8915;9.9207;5.838;5.889;-0.051;-0.07;0.02;B9Vne;B9;130.280544;
HD 196180;20 35 18,53563;+14 40 27,1675;20;35;18.5;308.8272318;5.390052015;+;14;40;27.2;14.67421319;0.256113335;58.6338;-15.1575;4.768;4.664;0.104;0.08;0.02;A3V;A3;161.5311961;
HD 196504;20 37 04,67254;+26 27 43,0087;20;37;04.7;309.2694689;5.397770508;+;26;27;43.0;26.46194686;0.461848099;68.726;-8.6963;5.539;5.589;-0.05;-0.07;0.02;B9V;B9;154.8302553;
HD 196544;20 37 49,11939;+11 22 39,6356;20;37;49.1;309.4546641;5.401002775;+;11;22;39.6;11.37767656;0.198577917;56.1307;-17.4966;5.479;5.428;0.051;0.05;0.00;A2V;A2;161.7447942;
HD 196724;20 38 31,33888;+21 12 04,2467;20;38;31.3;309.6305787;5.404073063;+;21;12;04.2;21.20117964;0.37003039;64.5947;-12.0543;4.8;4.82;-0.02;-0.01;-0.01;A0V;A0;157.8915389;
HD 196775;20 39 04,96819;+15 50 17,5206;20;39;05.0;309.7707008;5.406518655;+;15;50;17.5;15.83820017;0.27642874;60.1618;-15.2527;5.82;5.98;-0.16;-0.2;0.04;B3V;B3;160.2739464;
HD 19698 ;03 10 38,79281;+11 52 21,4458;03;10;38.8;47.66163671;0.831852487;+;11;52;21.4;11.87262383;0.207216377;168.3984;-38.4146;5.907;5.965;-0.058;-0.11;0.05;B8V;B8;66.26969923;
HD 197511;20 42 12,62838;+50 20 24,0907;20;42;12.6;310.5526183;5.420165689;+;50;20;24.1;50.34002519;0.878599185;88.3715;4.9944;5.298;5.404;-0.106;-0.24;0.13;B2V;B2;134.7191598;
HD 197725;20 46 09,98789;-21 30 50,5188;20;46;10.0;311.5416162;5.43742696;-;21;30;50.5;-21.514033;-0.375490711;24.3767;-34.3753;5.975;5.913;0.062;0.02;0.04;A1V;A1;144.3960396;
HD 197950;20 43 11,01986;+66 39 26,8038;20;43;11.0;310.7959161;5.424412037;+;66;39;26.8;66.6574455;1.163391895;101.7168;14.682;5.81;5.6;0.21;0.27;-0.06;A8V;A8;119.8375567;
